State,Month,Year,Generation_MW
Uttar Pradesh,7,2025,548.6
Uttar Pradesh,8,2025,521.3
Uttar Pradesh,9,2025,585
Uttar Pradesh,10,2025,572.9
Uttar Pradesh,11,2025,588.3
Uttarakhand,1,2023,38.4
Uttarakhand,2,2023,38.4
Uttarakhand,3,2023,38.4
Uttarakhand,4,2023,38.4
Uttarakhand,5,2023,38.4
Uttarakhand,6,2023,38.4
Uttarakhand,7,2023,38.4
Uttarakhand,8,2023,38.4
Uttarakhand,9,2023,38.4
Uttarakhand,10,2023,38.4
Uttarakhand,11,2023,38.4
Uttarakhand,12,2023,38.4
Uttarakhand,1,2024,38.4
Uttarakhand,2,2024,38.4
Uttarakhand,3,2024,38.4
Uttarakhand,4,2024,38.4
Uttarakhand,5,2024,38.4
Uttarakhand,6,2024,38.4
Uttarakhand,7,2024,38.4
Uttarakhand,8,2024,38.4
Uttarakhand,9,2024,38.4
Uttarakhand,10,2024,38.4
Uttarakhand,11,2024,38.4
Uttarakhand,12,2024,38.4
Uttarakhand,1,2025,38.4
Uttarakhand,2,2025,38.4
Uttarakhand,3,2025,38.4
Uttarakhand,4,2025,38.4
Uttarakhand,5,2025,38.4
Uttarakhand,6,2025,38.4
Uttarakhand,7,2025,38.4
Uttarakhand,8,2025,38.4
Uttarakhand,9,2025,38.4
Uttarakhand,10,2025,38.4
Uttarakhand,11,2025,38.4
West Bengal,1,2023,13.2
West Bengal,2,2023,15.4
West Bengal,3,2023,17.3
West Bengal,4,2023,18.2
West Bengal,5,2023,18.5
West Bengal,6,2023,18.5
West Bengal,7,2023,14.4
West Bengal,8,2023,12
West Bengal,9,2023,12
West Bengal,10,2023,25.8
West Bengal,11,2023,24
West Bengal,12,2023,22.3
West Bengal,1,2024,13.2
West Bengal,2,2024,25
West Bengal,3,2024,29.9
West Bengal,4,2024,32.9
West Bengal,5,2024,33.3
West Bengal,6,2024,31.5
West Bengal,7,2024,25.2
West Bengal,8,2024,21.5
West Bengal,9,2024,34.5
West Bengal,10,2024,39.5
West Bengal,11,2024,40.6
West Bengal,12,2024,38.6
West Bengal,1,2025,42.4
West Bengal,2,2025,45.6
West Bengal,3,2025,60
West Bengal,4,2025,60.5
West Bengal,5,2025,56
West Bengal,6,2025,44.7
West Bengal,7,2025,38
West Bengal,8,2025,40.3
West Bengal,9,2025,44.7
West Bengal,10,2025,44.8
West Bengal,11,2025,49.1
